codigoTabelaReferencia,nome_marca_carro,valor_marca_carro,nome_carro,valor_carro,nome_ano_carro,valor_ano_carro,codigo_fipe,nome_marca_carro_final,nome_carro_modelo,valor_carro_fipe,ano_modelo_carro,combustivel,mes_referencia,data_consulta,tipo_veiculo,sigla_combustivel
262,Fiat,21,Strada Endurance 1.4 Flex 8V CS Plus,9109,32000 Gasolina,32000-1,001526-1,Fiat,Strada Endurance 1.4 Flex 8V CS Plus,"R$ 65.725,00",32000,Gasolina,novembro de 2020 ,"quarta-feira, 9 de outubro de 2024 12:30",1,G
262,GM - Chevrolet,23,ONIX HATCH 1.0 12V Flex 5p Mec.,8988,32000 Gasolina,32000-1,004519-5,GM - Chevrolet,ONIX HATCH 1.0 12V Flex 5p Mec.,"R$ 57.760,00",32000,Gasolina,novembro de 2020 ,"quarta-feira, 9 de outubro de 2024 12:30",1,G
262,Hyundai,26,Creta Action 1.6 16V Flex Aut.,9113,32000 Gasolina,32000-1,015190-4,Hyundai,Creta Action 1.6 16V Flex Aut.,"R$ 81.471,00",32000,Gasolina,novembro de 2020 ,"quarta-feira, 9 de outubro de 2024 12:30",1,G
262,JAC,177,iEV 40 115cv 5p. (Elétrico),8694,32000 Gasolina,32000-1,080022-8,JAC,iEV 40 115cv 5p. (Elétrico),"R$ 193.483,00",32000,Gasolina,novembro de 2020 ,"quarta-feira, 9 de outubro de 2024 12:30",1,G
262,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,32000 Diesel,32000-3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
263,Fiat,21,ARGO 1.0 6V Flex.,8315,32000 Gasolina,32000-1,001509-1,Fiat,ARGO 1.0 6V Flex.,"R$ 51.823,00",32000,Gasolina,dezembro de 2020 ,"quarta-feira, 9 de outubro de 2024 12:30",1,G
263,Fiat,21,Strada Endurance 1.4 Flex 8V CS Plus,9109,32000 Gasolina,32000-1,001526-1,Fiat,Strada Endurance 1.4 Flex 8V CS Plus,"R$ 65.870,00",32000,Gasolina,dezembro de 2020 ,"quarta-feira, 9 de outubro de 2024 12:30",1,G
263,GM - Chevrolet,23,ONIX HATCH 1.0 12V Flex 5p Mec.,8988,32000 Gasolina,32000-1,004519-5,GM - Chevrolet,ONIX HATCH 1.0 12V Flex 5p Mec.,"R$ 57.922,00",32000,Gasolina,dezembro de 2020 ,"quarta-feira, 9 de outubro de 2024 12:32",1,G
263,Hyundai,26,Creta Action 1.6 16V Flex Aut.,9113,32000 Gasolina,32000-1,015190-4,Hyundai,Creta Action 1.6 16V Flex Aut.,"R$ 81.508,00",32000,Gasolina,dezembro de 2020 ,"quarta-feira, 9 de outubro de 2024 12:32",1,G
263,JAC,177,iEV 40 115cv 5p. (Elétrico),8694,32000 Gasolina,32000-1,080022-8,JAC,iEV 40 115cv 5p. (Elétrico),"R$ 192.587,00",32000,Gasolina,dezembro de 2020 ,"quarta-feira, 9 de outubro de 2024 12:32",1,G
263,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,32000 Diesel,32000-3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
264,Fiat,21,ARGO 1.0 6V Flex.,8315,32000 Gasolina,32000-1,001509-1,Fiat,ARGO 1.0 6V Flex.,"R$ 51.544,00",32000,Gasolina,janeiro de 2021 ,"quarta-feira, 9 de outubro de 2024 12:32",1,G
264,Fiat,21,Strada Endurance 1.4 Flex 8V CS Plus,9109,32000 Gasolina,32000-1,001526-1,Fiat,Strada Endurance 1.4 Flex 8V CS Plus,"R$ 66.057,00",32000,Gasolina,janeiro de 2021 ,"quarta-feira, 9 de outubro de 2024 12:32",1,G
264,GM - Chevrolet,23,ONIX HATCH 1.0 12V Flex 5p Mec.,8988,32000 Gasolina,32000-1,004519-5,GM - Chevrolet,ONIX HATCH 1.0 12V Flex 5p Mec.,"R$ 57.472,00",32000,Gasolina,janeiro de 2021 ,"quarta-feira, 9 de outubro de 2024 12:32",1,G
264,Hyundai,26,Creta Action 1.6 16V Flex Aut.,9113,32000 Gasolina,32000-1,015190-4,Hyundai,Creta Action 1.6 16V Flex Aut.,"R$ 83.019,00",32000,Gasolina,janeiro de 2021 ,"quarta-feira, 9 de outubro de 2024 12:32",1,G
264,JAC,177,iEV 40 115cv 5p. (Elétrico),8694,32000 Gasolina,32000-1,080022-8,JAC,iEV 40 115cv 5p. (Elétrico),"R$ 193.362,00",32000,Gasolina,janeiro de 2021 ,"quarta-feira, 9 de outubro de 2024 12:32",1,G
264,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,32000 Diesel,32000-3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
265,Fiat,21,ARGO 1.0 6V Flex.,8315,32000 Gasolina,32000-1,001509-1,Fiat,ARGO 1.0 6V Flex.,"R$ 51.438,00",32000,Gasolina,fevereiro de 2021 ,"quarta-feira, 9 de outubro de 2024 12:34",1,G
265,Fiat,21,Strada Endurance 1.4 Flex 8V CS Plus,9109,32000 Gasolina,32000-1,001526-1,Fiat,Strada Endurance 1.4 Flex 8V CS Plus,"R$ 67.433,00",32000,Gasolina,fevereiro de 2021 ,"quarta-feira, 9 de outubro de 2024 12:35",1,G
265,GM - Chevrolet,23,ONIX HATCH 1.0 12V Flex 5p Mec.,8988,32000 Gasolina,32000-1,004519-5,GM - Chevrolet,ONIX HATCH 1.0 12V Flex 5p Mec.,"R$ 58.233,00",32000,Gasolina,fevereiro de 2021 ,"quarta-feira, 9 de outubro de 2024 12:35",1,G
265,Hyundai,26,Creta Action 1.6 16V Flex Aut.,9113,32000 Gasolina,32000-1,015190-4,Hyundai,Creta Action 1.6 16V Flex Aut.,"R$ 83.616,00",32000,Gasolina,fevereiro de 2021 ,"quarta-feira, 9 de outubro de 2024 12:36",1,G
265,JAC,177,iEV 40 115cv 5p. (Elétrico),8694,32000 Gasolina,32000-1,080022-8,JAC,iEV 40 115cv 5p. (Elétrico),"R$ 193.400,00",32000,Gasolina,fevereiro de 2021 ,"quarta-feira, 9 de outubro de 2024 12:36",1,G
265,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,32000 Diesel,32000-3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
266,Fiat,21,ARGO 1.0 6V Flex.,8315,32000 Gasolina,32000-1,001509-1,Fiat,ARGO 1.0 6V Flex.,"R$ 52.793,00",32000,Gasolina,março de 2021 ,"quarta-feira, 9 de outubro de 2024 12:37",1,G
