codigoTabelaReferencia,nome_marca_carro,valor_marca_carro,nome_carro,valor_carro,nome_ano_carro,valor_ano_carro,codigo_fipe,nome_marca_carro_final,nome_carro_modelo,valor_carro_fipe,ano_modelo_carro,combustivel,mes_referencia,data_consulta,tipo_veiculo,sigla_combustivel
251,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,1998 Diesel,1998-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 28.111,00",1998,Diesel,fevereiro de 2020 ,"quarta-feira, 9 de outubro de 2024 15:06",1,D
251,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,1997 Diesel,1997-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 26.854,00",1997,Diesel,fevereiro de 2020 ,"quarta-feira, 9 de outubro de 2024 15:06",1,D
251,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,1996 Diesel,1996-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 25.544,00",1996,Diesel,fevereiro de 2020 ,"quarta-feira, 9 de outubro de 2024 15:06",1,D
251,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,1995 Diesel,1995-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 24.698,00",1995,Diesel,fevereiro de 2020 ,"quarta-feira, 9 de outubro de 2024 15:06",1,D
251,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,1994 Diesel,1994-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 21.292,00",1994,Diesel,fevereiro de 2020 ,"quarta-feira, 9 de outubro de 2024 15:06",1,D
251,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,1993 Diesel,1993-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 18.950,00",1993,Diesel,fevereiro de 2020 ,"quarta-feira, 9 de outubro de 2024 15:06",1,D
251,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,1992 Diesel,1992-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 15.792,00",1992,Diesel,fevereiro de 2020 ,"quarta-feira, 9 de outubro de 2024 15:06",1,D
252,Fiat,21,ARGO 1.0 6V Flex.,8315,32000 Gasolina,32000-1,001509-1,Fiat,ARGO 1.0 6V Flex.,"R$ 46.892,00",32000,Gasolina,março de 2020 ,"quarta-feira, 9 de outubro de 2024 15:06",1,G
252,Fiat,21,ARGO 1.0 6V Flex.,8315,2020 Gasolina,2020-1,001509-1,Fiat,ARGO 1.0 6V Flex.,"R$ 42.423,00",2020,Gasolina,março de 2020 ,"quarta-feira, 9 de outubro de 2024 15:06",1,G
252,Fiat,21,ARGO 1.0 6V Flex.,8315,2019 Gasolina,2019-1,001509-1,Fiat,ARGO 1.0 6V Flex.,"R$ 40.428,00",2019,Gasolina,março de 2020 ,"quarta-feira, 9 de outubro de 2024 15:06",1,G
252,Fiat,21,ARGO 1.0 6V Flex.,8315,2018 Gasolina,2018-1,001509-1,Fiat,ARGO 1.0 6V Flex.,"R$ 39.214,00",2018,Gasolina,março de 2020 ,"quarta-feira, 9 de outubro de 2024 15:06",1,G
252,GM - Chevrolet,23,ONIX HATCH 1.0 12V Flex 5p Mec.,8988,32000 Gasolina,32000-1,004519-5,GM - Chevrolet,ONIX HATCH 1.0 12V Flex 5p Mec.,"R$ 50.251,00",32000,Gasolina,março de 2020 ,"quarta-feira, 9 de outubro de 2024 15:06",1,G
252,GM - Chevrolet,23,ONIX HATCH 1.0 12V Flex 5p Mec.,8988,2020 Gasolina,2020-1,004519-5,GM - Chevrolet,ONIX HATCH 1.0 12V Flex 5p Mec.,"R$ 45.979,00",2020,Gasolina,março de 2020 ,"quarta-feira, 9 de outubro de 2024 15:06",1,G
252,JAC,177,iEV 40 115cv 5p. (Elétrico),8694,32000 Gasolina,32000-1,080022-8,JAC,iEV 40 115cv 5p. (Elétrico),"R$ 162.817,00",32000,Gasolina,março de 2020 ,"quarta-feira, 9 de outubro de 2024 15:06",1,G
252,JAC,177,iEV 40 115cv 5p. (Elétrico),8694,2020 Gasolina,2020-1,080022-8,JAC,iEV 40 115cv 5p. (Elétrico),"R$ 127.676,00",2020,Gasolina,março de 2020 ,"quarta-feira, 9 de outubro de 2024 15:06",1,G
252,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,32000 Diesel,32000-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 146.843,00",32000,Diesel,março de 2020 ,"quarta-feira, 9 de outubro de 2024 15:06",1,D
252,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,2020 Diesel,2020-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 125.789,00",2020,Diesel,março de 2020 ,"quarta-feira, 9 de outubro de 2024 15:06",1,D
252,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,2019 Diesel,2019-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 121.474,00",2019,Diesel,março de 2020 ,"quarta-feira, 9 de outubro de 2024 15:06",1,D
252,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,2018 Diesel,2018-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 111.463,00",2018,Diesel,março de 2020 ,"quarta-feira, 9 de outubro de 2024 15:06",1,D
252,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,2017 Diesel,2017-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 102.995,00",2017,Diesel,março de 2020 ,"quarta-feira, 9 de outubro de 2024 15:08",1,D
252,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,2016 Diesel,2016-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 98.227,00",2016,Diesel,março de 2020 ,"quarta-feira, 9 de outubro de 2024 15:08",1,D
252,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,1998 Diesel,1998-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 28.785,00",1998,Diesel,março de 2020 ,"quarta-feira, 9 de outubro de 2024 15:08",1,D
252,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,1997 Diesel,1997-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 27.498,00",1997,Diesel,março de 2020 ,"quarta-feira, 9 de outubro de 2024 15:08",1,D
252,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,1996 Diesel,1996-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 25.508,00",1996,Diesel,março de 2020 ,"quarta-feira, 9 de outubro de 2024 15:08",1,D
252,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,1995 Diesel,1995-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 24.695,00",1995,Diesel,março de 2020 ,"quarta-feira, 9 de outubro de 2024 15:08",1,D
252,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,1994 Diesel,1994-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 21.266,00",1994,Diesel,março de 2020 ,"quarta-feira, 9 de outubro de 2024 15:08",1,D
252,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,1993 Diesel,1993-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 18.929,00",1993,Diesel,março de 2020 ,"quarta-feira, 9 de outubro de 2024 15:08",1,D
252,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,1992 Diesel,1992-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 15.776,00",1992,Diesel,março de 2020 ,"quarta-feira, 9 de outubro de 2024 15:08",1,D
253,Fiat,21,ARGO 1.0 6V Flex.,8315,32000 Gasolina,32000-1,001509-1,Fiat,ARGO 1.0 6V Flex.,"R$ 47.529,00",32000,Gasolina,abril de 2020 ,"quarta-feira, 9 de outubro de 2024 15:08",1,G
253,Fiat,21,ARGO 1.0 6V Flex.,8315,2020 Gasolina,2020-1,001509-1,Fiat,ARGO 1.0 6V Flex.,"R$ 43.239,00",2020,Gasolina,abril de 2020 ,"quarta-feira, 9 de outubro de 2024 15:08",1,G
253,Fiat,21,ARGO 1.0 6V Flex.,8315,2019 Gasolina,2019-1,001509-1,Fiat,ARGO 1.0 6V Flex.,"R$ 40.359,00",2019,Gasolina,abril de 2020 ,"quarta-feira, 9 de outubro de 2024 15:08",1,G
253,Fiat,21,ARGO 1.0 6V Flex.,8315,2018 Gasolina,2018-1,001509-1,Fiat,ARGO 1.0 6V Flex.,"R$ 39.094,00",2018,Gasolina,abril de 2020 ,"quarta-feira, 9 de outubro de 2024 15:08",1,G
253,GM - Chevrolet,23,ONIX HATCH 1.0 12V Flex 5p Mec.,8988,32000 Gasolina,32000-1,004519-5,GM - Chevrolet,ONIX HATCH 1.0 12V Flex 5p Mec.,"R$ 49.765,00",32000,Gasolina,abril de 2020 ,"quarta-feira, 9 de outubro de 2024 15:08",1,G
253,GM - Chevrolet,23,ONIX HATCH 1.0 12V Flex 5p Mec.,8988,2020 Gasolina,2020-1,004519-5,GM - Chevrolet,ONIX HATCH 1.0 12V Flex 5p Mec.,"R$ 45.753,00",2020,Gasolina,abril de 2020 ,"quarta-feira, 9 de outubro de 2024 15:08",1,G
253,JAC,177,iEV 40 115cv 5p. (Elétrico),8694,32000 Gasolina,32000-1,080022-8,JAC,iEV 40 115cv 5p. (Elétrico),"R$ 164.837,00",32000,Gasolina,abril de 2020 ,"quarta-feira, 9 de outubro de 2024 15:08",1,G
253,JAC,177,iEV 40 115cv 5p. (Elétrico),8694,2021 Gasolina,2021-1,080022-8,JAC,iEV 40 115cv 5p. (Elétrico),"R$ 146.375,00",2021,Gasolina,abril de 2020 ,"quarta-feira, 9 de outubro de 2024 15:08",1,G
253,JAC,177,iEV 40 115cv 5p. (Elétrico),8694,2020 Gasolina,2020-1,080022-8,JAC,iEV 40 115cv 5p. (Elétrico),"R$ 126.101,00",2020,Gasolina,abril de 2020 ,"quarta-feira, 9 de outubro de 2024 15:08",1,G
253,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,32000 Diesel,32000-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 146.476,00",32000,Diesel,abril de 2020 ,"quarta-feira, 9 de outubro de 2024 15:08",1,D
253,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,2020 Diesel,2020-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 125.612,00",2020,Diesel,abril de 2020 ,"quarta-feira, 9 de outubro de 2024 15:08",1,D
253,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,2019 Diesel,2019-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 121.504,00",2019,Diesel,abril de 2020 ,"quarta-feira, 9 de outubro de 2024 15:10",1,D
253,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,2018 Diesel,2018-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 111.114,00",2018,Diesel,abril de 2020 ,"quarta-feira, 9 de outubro de 2024 15:10",1,D
253,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,2017 Diesel,2017-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 101.354,00",2017,Diesel,abril de 2020 ,"quarta-feira, 9 de outubro de 2024 15:10",1,D
253,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,2016 Diesel,2016-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 98.365,00",2016,Diesel,abril de 2020 ,"quarta-feira, 9 de outubro de 2024 15:10",1,D
253,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,1998 Diesel,1998-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 28.741,00",1998,Diesel,abril de 2020 ,"quarta-feira, 9 de outubro de 2024 15:10",1,D
253,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,1997 Diesel,1997-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 27.854,00",1997,Diesel,abril de 2020 ,"quarta-feira, 9 de outubro de 2024 15:10",1,D
